alcohol,volatile_acidity,sulphates,citric_acid,total_sulfur_dioxide,density,quality,quality_class
9.4,0.7,0.56,0.0,34.0,0.9978,5,1
9.8,0.88,0.68,0.0,67.0,0.9968,5,1
9.8,0.76,0.65,0.04,54.0,0.997,5,1
9.8,0.28,0.58,0.56,60.0,0.998,6,1
9.4,0.7,0.56,0.0,34.0,0.9978,5,1
9.4,0.66,0.56,0.0,40.0,0.9978,5,1
9.4,0.6,0.46,0.06,59.0,0.9964,5,1
10.0,0.65,0.47,0.0,21.0,0.9946,7,2
9.5,0.58,0.57,0.02,18.0,0.9968,7,2
10.5,0.5,0.8,0.36,102.0,0.9978,5,1
9.2,0.58,0.54,0.08,65.0,0.9959,5,1
10.5,0.5,0.8,0.36,102.0,0.9978,5,1
9.9,0.615,0.52,0.0,59.0,0.9943,5,1
9.1,0.61,1.56,0.29,29.0,0.9974,5,1
9.2,0.62,0.88,0.18,145.0,0.9986,5,1
9.2,0.62,0.93,0.19,148.0,0.9986,5,1
10.5,0.28,0.75,0.56,103.0,0.9969,7,2
9.3,0.56,1.28,0.28,56.0,0.9968,5,1
9.0,0.59,0.5,0.08,29.0,0.9974,4,0
9.2,0.32,1.08,0.51,56.0,0.9969,6,1
9.4,0.22,0.53,0.48,60.0,0.9968,6,1
9.7,0.39,0.65,0.31,71.0,0.9982,5,1
9.5,0.43,0.91,0.21,37.0,0.9966,5,1
9.4,0.49,0.53,0.11,67.0,0.9968,5,1
9.7,0.4,0.63,0.14,40.0,0.9968,6,1
9.3,0.39,0.56,0.16,23.0,0.9955,5,1
9.5,0.41,0.59,0.24,11.0,0.9962,5,1
9.5,0.43,0.91,0.21,37.0,0.9966,5,1
9.4,0.71,0.55,0.0,35.0,0.9972,5,1
9.8,0.645,0.59,0.0,16.0,0.9964,6,1
10.1,0.675,0.54,0.07,82.0,0.9958,5,1
10.6,0.685,0.57,0.0,37.0,0.9966,6,1
9.8,0.655,0.66,0.12,113.0,0.9966,5,1
9.4,0.605,0.52,0.12,83.0,0.9993,6,1
9.2,0.32,0.55,0.25,50.0,0.9957,5,1
9.6,0.645,0.55,0.0,18.0,0.9986,6,1
10.8,0.6,0.6,0.14,15.0,0.9975,6,1
9.7,0.38,0.73,0.28,30.0,0.9968,7,2
9.8,1.13,0.48,0.09,19.0,0.9940000000000001,4,0
10.5,0.45,0.83,0.36,87.0,0.9978,5,1
10.5,0.45,0.83,0.36,87.0,0.9978,5,1
9.3,0.61,0.51,0.3,46.0,0.9976,4,0
10.5,0.49,0.9,0.2,14.0,0.9968,6,1
10.3,0.66,1.2,0.22,23.0,0.9968,5,1
9.5,0.67,0.52,0.02,11.0,0.9962,5,1
13.1,0.52,0.56,0.15,65.0,0.9934,4,0
9.2,0.935,0.73,0.43,114.0,0.997,5,1
9.5,0.29,0.58,0.52,37.0,0.9969,5,1
9.2,0.4,0.56,0.23,12.0,0.9958,5,1
9.2,0.31,0.58,0.37,96.0,0.9954,5,1
9.2,0.66,0.74,0.26,23.0,0.9971,5,1
9.4,0.52,0.63,0.04,15.0,0.9956,6,1
9.4,0.5,0.64,0.04,14.0,0.9955,6,1
9.4,0.38,0.56,0.36,119.0,0.997,5,1
10.2,0.51,0.63,0.15,73.0,0.9955,6,1
9.5,0.62,0.53,0.04,45.0,0.9978,5,1
9.6,0.42,0.63,0.57,10.0,0.9971,5,1
9.4,0.63,0.77,0.12,110.0,0.9983,5,1
10.0,0.59,0.59,0.18,54.0,0.9975,5,1
9.4,0.39,0.54,0.31,46.0,0.9962,6,1
9.2,0.4,0.64,0.4,52.0,0.998,5,1
9.3,0.69,0.71,0.49,112.0,0.9968,5,1
9.5,0.52,0.62,0.16,35.0,0.9968,7,2
9.8,0.735,0.57,0.05,54.0,0.9966,5,1
10.9,0.725,0.39,0.05,11.0,0.9962,5,1
10.9,0.725,0.39,0.05,11.0,0.9962,5,1
9.6,0.52,0.58,0.11,39.0,0.9968,5,1
10.7,0.705,0.58,0.07,15.0,0.9962,5,1
10.7,0.32,0.79,0.57,65.0,0.9969,5,1
10.5,0.705,0.95,0.05,19.0,0.9962,6,1
9.5,0.63,0.54,0.08,27.0,0.9967,6,1
9.5,0.67,0.48,0.23,96.0,0.9962,5,1
9.5,0.69,0.48,0.22,94.0,0.9961,5,1
9.2,0.675,0.53,0.26,43.0,0.9976,4,0
9.6,0.32,0.82,0.54,83.0,0.9984,5,1
10.5,0.41,0.66,0.64,42.0,0.9986,5,1
10.5,0.41,0.66,0.64,42.0,0.9986,5,1
10.7,0.785,0.55,0.0,30.0,0.9966,6,1
10.1,0.75,0.52,0.12,80.0,0.9958,5,1
9.1,0.625,1.12,0.2,119.0,0.9972,4,0
9.2,0.45,0.56,0.2,15.0,0.9958,5,1
9.4,0.43,1.28,0.7,67.0,0.9974,5,1
9.1,0.5,0.57,0.47,73.0,0.997,5,1
9.4,0.67,1.14,0.26,51.0,0.9969,5,1
10.3,0.3,0.78,0.48,61.0,0.9959,6,1
10.1,0.55,0.59,0.15,40.0,0.9961,5,1
9.9,0.49,1.95,0.28,136.0,0.9972,6,1
9.6,0.49,0.64,0.26,31.0,0.9966,5,1
9.5,0.39,1.22,0.44,125.0,0.9978,5,1
9.0,0.62,0.53,0.08,24.0,0.9978,5,1
9.5,0.52,0.54,0.26,140.0,0.9964,5,1
