alcohol,chlorides,volatile_acidity,total_sulfur_dioxide,fixed_acidity,quality,quality_class
8.8,0.045,0.27,170.0,7.0,6,1
9.5,0.049,0.3,132.0,6.3,6,1
10.1,0.05,0.28,97.0,8.1,6,1
9.9,0.057999999999999996,0.23,186.0,7.2,6,1
9.9,0.057999999999999996,0.23,186.0,7.2,6,1
10.1,0.05,0.28,97.0,8.1,6,1
9.6,0.045,0.32,136.0,6.2,6,1
8.8,0.045,0.27,170.0,7.0,6,1
9.5,0.049,0.3,132.0,6.3,6,1
11.0,0.044000000000000004,0.22,129.0,8.1,6,1
12.0,0.033,0.27,63.0,8.1,5,1
9.7,0.035,0.23,109.0,8.6,5,1
10.8,0.04,0.18,75.0,7.9,5,1
12.4,0.044000000000000004,0.16,143.0,6.6,7,2
9.7,0.04,0.42,172.0,8.3,5,1
11.4,0.032,0.17,112.0,6.6,7,2
9.6,0.046,0.48,99.0,6.3,6,1
12.8,0.028999999999999998,0.66,75.0,6.2,8,2
11.3,0.033,0.34,171.0,7.4,6,1
9.5,0.044000000000000004,0.31,133.0,6.5,5,1
12.8,0.028999999999999998,0.66,75.0,6.2,8,2
11.0,0.038,0.31,102.0,6.4,7,2
10.5,0.049,0.26,122.0,6.8,8,2
9.3,0.07400000000000001,0.67,168.0,7.6,5,1
10.0,0.052000000000000005,0.27,142.0,6.6,6,1
10.4,0.046,0.25,245.0,7.0,6,1
10.0,0.052000000000000005,0.24,146.0,6.9,6,1
10.5,0.051,0.28,141.0,7.0,6,1
11.6,0.047,0.27,132.0,7.4,6,1
12.3,0.033,0.32,114.0,7.2,7,2
10.0,0.044000000000000004,0.24,142.0,8.5,6,1
10.2,0.042,0.14,47.0,8.3,6,1
10.8,0.05,0.25,100.0,7.4,6,1
9.0,0.045,0.12,117.0,6.2,6,1
10.2,0.044000000000000004,0.27,179.0,5.8,5,1
12.8,0.08,0.28,123.0,7.3,5,1
10.0,0.051,0.39,149.0,6.5,5,1
11.2,0.053,0.33,138.0,7.0,6,1
8.6,0.057,0.24,149.0,7.3,5,1
8.6,0.057,0.24,149.0,7.3,5,1
9.4,0.172,0.23,158.0,6.7,6,1
9.4,0.17300000000000001,0.24,157.0,6.7,6,1
9.8,0.069,0.31,160.0,7.0,6,1
9.5,0.057,0.24,152.0,6.6,6,1
9.5,0.06,0.23,154.0,6.7,6,1
10.0,0.057999999999999996,0.18,167.0,7.4,7,2
9.8,0.063,0.45,206.0,6.2,4,0
9.8,0.066,0.46,207.0,6.2,5,1
9.8,0.069,0.31,160.0,7.0,6,1
9.8,0.067,0.19,150.0,6.9,5,1
11.7,0.062,0.19,173.0,7.2,6,1
11.0,0.068,0.25,124.0,6.6,7,2
10.9,0.057,0.16,82.0,6.2,7,2
10.9,0.045,0.18,108.0,6.4,6,1
9.1,0.147,0.2,132.0,6.8,6,1
11.0,0.039,0.25,191.0,6.9,6,1
9.6,0.043,0.21,213.0,7.2,6,1
8.9,0.048,0.19,147.0,6.0,6,1
10.2,0.044000000000000004,0.38,78.0,6.6,6,1
9.9,0.038,0.2,111.0,7.4,6,1
8.6,0.092,0.22,123.0,6.8,6,1
8.9,0.048,0.19,147.0,6.0,6,1
10.5,0.035,0.47,151.0,7.0,5,1
10.2,0.044000000000000004,0.38,78.0,6.6,6,1
10.3,0.038,0.24,122.0,7.2,6,1
9.1,0.064,0.35,120.0,6.2,5,1
12.6,0.04,0.26,124.0,6.4,7,2
9.8,0.040999999999999995,0.25,174.0,6.7,5,1
10.7,0.046,0.23,96.0,6.7,8,2
9.5,0.05,0.24,105.0,7.4,5,1
9.0,0.055999999999999994,0.27,244.0,6.2,6,1
9.5,0.061,0.3,238.5,6.8,5,1
10.0,0.063,0.27,201.0,6.0,5,1
9.1,0.054000000000000006,0.23,72.0,8.6,6,1
10.7,0.046,0.23,96.0,6.7,8,2
9.5,0.05,0.24,105.0,7.4,5,1
12.7,0.043,0.18,87.0,7.1,7,2
12.0,0.042,0.32,69.0,7.0,7,2
9.3,0.064,0.18,103.0,7.4,5,1
9.0,0.06,0.54,105.0,6.7,5,1
10.6,0.053,0.22,114.0,6.8,6,1
9.2,0.05,0.2,166.0,7.1,6,1
10.0,0.063,0.34,164.0,7.1,5,1
9.5,0.047,0.22,207.0,7.3,6,1
8.7,0.045,0.43,155.0,7.1,5,1
8.7,0.044000000000000004,0.44,152.0,7.1,6,1
8.7,0.044000000000000004,0.39,156.0,7.2,6,1
9.7,0.05,0.25,202.0,6.8,6,1
8.7,0.045,0.43,155.0,7.1,5,1
8.7,0.044000000000000004,0.44,152.0,7.1,6,1
8.7,0.044000000000000004,0.39,156.0,7.2,6,1
9.0,0.049,0.27,243.0,6.1,5,1
12.6,0.035,0.24,136.0,6.9,7,2
12.6,0.034,0.21,136.0,6.9,7,2
11.5,0.04,0.17,148.0,7.5,7,2
9.2,0.044000000000000004,0.26,240.0,7.1,6,1
8.8,0.046,0.34,164.0,6.0,6,1
11.4,0.034,0.265,80.0,8.6,7,2
10.1,0.038,0.36,83.0,9.8,4,0
8.8,0.046,0.34,164.0,6.0,6,1
9.1,0.06,0.25,192.0,7.4,5,1
9.4,0.054000000000000006,0.12,162.0,7.1,5,1
9.4,0.05,0.21,164.0,6.0,5,1
9.0,0.059000000000000004,0.305,170.0,7.5,5,1
9.1,0.06,0.25,192.0,7.4,5,1
9.2,0.051,0.13,109.0,7.3,6,1
9.4,0.054000000000000006,0.12,162.0,7.1,5,1
9.1,0.04,0.23,171.0,7.1,6,1
9.1,0.04,0.23,171.0,7.1,6,1
10.3,0.051,0.33,187.0,6.9,5,1
8.8,0.08199999999999999,0.17,163.0,6.5,6,1
8.9,0.052000000000000005,0.27,255.0,7.2,5,1
9.2,0.055999999999999994,0.31,195.0,7.2,5,1
9.1,0.049,0.41,150.0,6.7,5,1
9.1,0.049,0.41,150.0,6.7,5,1
9.7,0.065,0.485,103.0,5.5,4,0
11.3,0.040999999999999995,0.31,143.0,6.0,6,1
11.8,0.035,0.14,85.0,7.0,6,1
9.2,0.055999999999999994,0.31,195.0,7.2,5,1
9.2,0.06,0.32,196.0,7.3,5,1
10.2,0.046,0.36,87.0,5.9,5,1
8.8,0.054000000000000006,0.24,138.0,7.8,5,1
9.7,0.059000000000000004,0.16,131.0,7.4,5,1
9.1,0.057999999999999996,0.19,146.0,6.9,6,1
9.8,0.092,0.13,158.0,6.4,6,1
11.0,0.026000000000000002,0.19,143.0,6.7,6,1
10.5,0.033,0.39,126.0,7.4,5,1
9.7,0.038,0.24,203.0,6.5,7,2
10.9,0.044000000000000004,0.3,179.0,6.1,7,2
10.9,0.046,0.3,184.0,6.1,6,1
10.6,0.02,0.26,57.0,5.7,5,1
9.7,0.038,0.24,203.0,6.5,7,2
9.0,0.038,0.425,241.0,6.5,5,1
9.2,0.035,0.24,188.0,6.6,5,1
8.9,0.034,0.27,203.0,6.8,5,1
9.6,0.036000000000000004,0.27,179.0,6.7,5,1
10.7,0.027000000000000003,0.23,121.0,8.2,6,1
8.7,0.045,0.37,155.0,7.1,5,1
10.8,0.035,0.19,96.0,6.8,7,2
11.8,0.028999999999999998,0.28,79.0,8.1,6,1
10.2,0.045,0.31,77.0,6.3,5,1
8.7,0.045,0.37,155.0,7.1,5,1
10.8,0.039,0.21,107.0,7.9,6,1
9.7,0.036000000000000004,0.21,99.0,8.5,6,1
11.2,0.037000000000000005,0.2,87.0,8.1,6,1
10.9,0.04,0.255,114.0,6.3,6,1
10.1,0.044000000000000004,0.16,168.0,5.6,6,1
9.0,0.057999999999999996,0.595,97.0,6.4,4,0
12.0,0.034,0.34,80.0,6.3,7,2
9.4,0.054000000000000006,0.25,116.0,6.9,6,1
11.5,0.043,0.22,152.0,7.9,7,2
9.9,0.055,0.18,135.0,7.6,6,1
9.4,0.054000000000000006,0.25,116.0,6.9,6,1
10.4,0.048,0.18,97.0,7.2,5,1
9.7,0.049,0.23,76.0,8.2,6,1
8.9,0.066,0.24,198.0,7.4,6,1
8.9,0.066,0.24,198.0,7.4,6,1
12.4,0.036000000000000004,0.32,124.0,6.1,7,2
12.1,0.036000000000000004,0.44,119.0,5.2,8,2
12.1,0.036000000000000004,0.44,119.0,5.2,8,2
12.4,0.036000000000000004,0.32,124.0,6.1,7,2
9.1,0.055,0.22,159.0,6.4,5,1
10.6,0.049,0.36,85.0,6.3,5,1
8.9,0.066,0.24,198.0,7.4,6,1
9.5,0.05,0.24,205.0,6.7,5,1
9.8,0.051,0.23,177.0,7.0,5,1
9.6,0.048,0.27,197.0,8.4,6,1
12.6,0.034,0.46,98.0,6.7,7,2
9.3,0.055,0.29,151.0,7.5,5,1
10.0,0.034,0.42,110.0,9.8,5,1
12.7,0.066,0.3,133.0,7.1,6,1
11.0,0.045,0.19,96.0,7.9,6,1
11.4,0.037000000000000005,0.48,100.0,7.6,4,0
11.5,0.038,0.22,130.0,6.3,7,2
10.2,0.051,0.27,173.0,7.5,5,1
11.4,0.04,0.23,151.0,6.9,6,1
12.6,0.044000000000000004,0.32,65.0,7.2,4,0
9.4,0.054000000000000006,0.23,170.0,5.9,5,1
8.7,0.06,0.67,108.0,6.0,4,0
9.2,0.049,0.25,176.0,6.4,6,1
9.3,0.048,0.33,173.0,6.4,6,1
9.2,0.053,0.34,183.0,7.1,5,1
8.7,0.048,0.28,167.0,6.8,5,1
9.6,0.05,0.27,227.0,6.9,6,1
9.3,0.043,0.26,226.0,6.8,5,1
9.3,0.043,0.29,230.0,6.8,5,1
9.9,0.04,0.24,166.0,6.7,6,1
11.0,0.038,0.3,119.0,5.9,5,1
